onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"51-8092.00",2017,.43670267,.13154656,.65206921,.67572564,.098036498,.027793562,.080728903,.032729276,.4361299,.13154656,.65650928,.68643427,.78042161,.64916486,.050000001,.50099999,.43938321,.45467409
"51-8093.00",2017,.45950294,.084086515,.7234118,.72341186,.083500482,.027793562,.080728903,.032729276,.4591341,.084086515,.72938293,.73449212,.674622,.64916486,.050000001,.50099999,.43938321,.45467409
"51-8099.01",2017,.5605405,.10884684,.60186797,.64283246,.076066963,.003407863,.080728903,.050000001,.5610888,.10884684,.60495842,.6530813,.60342139,.02703598,.050000001,.64053702,.43938321,.45467409
"51-8099.03",2017,.42213696,.17299958,.60186797,.64283246,.11030032,.027793562,.080728903,.032729276,.42143634,.17299958,.60495842,.6530813,.84156305,.64916486,.050000001,.50099999,.43938321,.45467409
"51-8099.04",2017,.65876722,.18725564,.50099999,.44919005,.08981254,.021796938,.080728903,.0035478866,.6601187,.18725564,.50099999,.45446807,.72568226,.53063309,.050000001,.050000001,.43938321,.45467409
"51-9011.00",2017,.5605405,.10884684,.60186797,.64283246,.10524651,.027793562,.080728903,.050000001,.5610888,.10884684,.60495842,.6530813,.81896734,.64916486,.050000001,.64053702,.14474137,.15129282
"51-9012.00",2017,.5605405,.066568382,.60186797,.75230736,.11365138,.0047013084,.080728903,.050000001,.5610888,.066568382,.60495842,.76341659,.85480958,.050000001,.050000001,.64053702,.14474137,.15129282
"51-9021.00",2017,.6665988,.10422137,.52530676,.59266496,.10731387,.027793562,.080728903,.0035478866,.668006,.10422137,.52609617,.6019457,.82861453,.64916486,.050000001,.050000001,.075529538,.078834452
"51-9022.00",2017,.6105212,.042300664,.74565923,.73871005,.10078672,.027793562,.080728903,.050000001,.61149859,.042300664,.75198108,.74982566,.79607582,.64916486,.050000001,.64053702,.075529538,.078834452
"51-9023.00",2017,.48343349,.087726437,.78728539,.65606833,.090044297,.025464239,.080728903,.032729276,.48328206,.087726437,.79405349,.66652042,.72740054,.60768139,.050000001,.50099999,.075529538,.078834452
"51-9031.00",2017,.61798185,.45621991,.066130146,.52014625,.041227639,.04012011,.69598979,.032729276,.61902016,.45621991,.061200134,.52757961,.17308629,.79679352,.9747135,.50099999,.059165429,.06162313
"51-9032.00",2017,.74455702,.011826524,.76697582,.84113711,.073530719,.0047013084,.080728903,.0035478866,.74641395,.011826524,.77356315,.85117459,.57634944,.050000001,.050000001,.050000001,.059165429,.06162313
